"SUM_checkouts","publicationyear"
"22","[1991, p1978]"
"39","[1991, p1980]"
"4","<1992>"
"3","[©1992]"
"91","[1992?]"
"5771","[1992]"
"190","©1992."
"71","℗1992."
"8","1992-"
"5","1992-."
"3","1992?."
"4579","1992."
"42","[1992]. ©1955."
"3","[1992], ©1980."
"21","[1992], ℗1980."
"3","1992, ©1990."
"2","1992. 1990."
"11","1992, ©1991."
"1","1992, 1991."
"6","[1992, [2005]"
"15","1992, c1981."
"2","1992, c1990."
"3","1992, c1997."
"4","[1992, p1964]"
"2","[1992, p1974]"
"52","[1992, p1979]"
"3","[1992], p1989]"
"9","[1992], p1990]"
"1","<1993- >"
"3","[1993-]"
"195","[1993?]"
"7283","[1993]"
"35","[1993]."
"368","©1993."
"88","℗1993."
"8","1993-"
"4209","1993."
"3","[1993], ©1964"
"16","©1993, ©1970."
"1","1993, ©1971."
"65","[1993], ℗1976."
"2","[1993, 1978]"
"1","[1993, 1989]"
"3","1993, ©1992."
"3","<[1993]-1994 >"
"1","1993-1994."
"2","[1993, 1995]"
"10","1993-1995."
"1","1993-<1998>"
"1","[1993, 2006]"
"2","[1993, c1971]"
"3","[1993, c1979]"
"9","[1993, c1990]"
"16","1993, c1992."
"5","[1993], p1962, 1969]"
"7","[1993], p1976]"
"16","[1993], p1977]"
"11","[1993, p1992]"
"2","1993 (reprinted 1997)"
"2","[1993 [that is, 1995]"
"7","[1994-]"
"327","[1994?]"
"8030","[1994]"
"8","©1994-"
"282","©1994."
"31","℗1994."
"9","1994-"
"4799","1994."
"5","[1994, 1969]"
"6","1994, ©1972."
"5","[1994], ©1982."
"30","[1994, 1989]"
"16","1994, ©1990."
"7","©1994, ℗1992."
"21","©1994, ℗1993."
"15","1994, ©1993."
"5","1994-<1995>"
"42","[1994, [2001]"
"74","[1994, c1953]"
"12","[1994, p1974]"
"4","[1994, p1981]"
"24","[1994, p1993]"
"12","1995"
"434","[1995?]"
"8522","[1995]"
"1","[1995]."
"137","©1995."
"167","℗1995."
"4","1995-"
"6234","1995."
"7","[1995], ©1968."
"22","©1995, ℗1978."
"8","1995, ©1985."
"3","1995, ©1993."
"25","1995, ©1994."
"1","1995-1999"
"3","[1995, 1999, p2003]"
"2","1995 [2002 or 2003]"
"2","[1995, 2006]"
"22","[1995, 2012]"
"281","[1995, c1967]"
"9","[1995], c1983."
"67","[1995, c1994]"
"10","1995, c1994."
"15","[1995, c2012]"
"8","[1995, p1990]"
"22","[1995, p1991]"
"1","<1996- >"
"157","[1996?]"
"8397","[1996]"
"31","[1996]."
"290","©1996."
"117","℗1996."
"5","1996-"
"6489","1996."
"11","[1996], ℗1972."
"1","1996, ©1986."
"5","1996, ©1987."
"11","[1996], ©1995."
"9","1996, ©1995."
"1","1996-<1998 >."
"4","[1996, [2012]"
"25","[1996, 2017]"
"3","[1996, c1961]"
"2","[1996, c1982]"
"4","[1996, c1995]"
"18","[1996, p1980]"
"2","[1996, p1982]"
"4","[1996, p1991]"
"135","1997"
"11","[©1997]"
"5","[1997?- ]"
"325","[1997?]"
"10224","[1997]"
"6","[1997]."
"131","©1997."
"170","℗1997."
"27","1997-"
"7368","1997."
"7","1997, 1957."
"27","[1997], ℗1974."
"15","1997, ©1974."
"26","[1997], ℗1975."
"7","1997, 1977."
"28","[1997], ℗1980."
"36","℗1997, ℗1982."
"25","[1997], ℗1984."
"18","1997, ©1985."
"32","[1997], ©1988"
"1","1997, 1990."
"1","1997, ©1992."
"12","1997, ©1994."
"6","[1997], ©1995."
"3","1997, ©1995."
"33","1997, ©1996."
"3","[1997, 1998]"
"2","1997-1999."
"5","[1997, c1991]"
"2","[1997, c1994]"
"7","1997, c1995."
"3","1997, c1996."
"13","[1997, p1964]"
"3","[1997], p1966]"
"20","[1997, p1973]"
"10","[1997, p1977]"
"10","[1997, p1978]"
"8","[1997, p1982]"
"8","[1997, p1984]"
"25","[1997, p1990]"
"12","[1997, p1996]"
"1","1997 [that is, 1998]"
"8","1998"
"1","<1998 >"
"73","[©1998]"
"517","[1998?]"
"15040","[1998]"
"315","©1998."
"55","℗1998."
"13","1998-"
"10584","1998."
"2","[1998,1944]"
"2","1998, ©1958."
"3","1998, 1964."
"1","[1998?], 1966."
"19","[1998?], 1971."
"52","©1998, ℗1980."
"1","1998, 1987."
"9","1998, ©1988."
"63","1998, ©1993."
"23","1998, ©1994."
"2","1998, ©1996."
"2","[1998], ©1997."
"24","1998, ©1997."
"48","1998, 1997."
"2","1998-1999."
"1","1998, 1999."
"1","1998-2000."
"5","[1998, 2003]"
"6","[1998, 2005]"
"12","[1998], c1926."
"9","[1998, c1981]"
"14","[1998, c1987]"
"7","[1998, c1989]"
"48","1998, c1997."
"9","[1998, c2014]"
"1","[1998], p1967]"
"46","[1998, p1973]"
"1","[1998, p1974]"
"6","[1998, p1977]"
"11","[1998, p1980]"
"5","[1998, p1989]"
"15","[1998, p1990]"
"6","[1998], p1995]"
"9","[1998, p1997]"
"33","1999"
"2","<1999- >"
"684","[1999?]"
"6","[1999?]-"
"17362","[1999]"
"851","©1999."
"67","℗1999."
"17","1999-"
"89","1999?."
"14543","1999."
"17","[1999], ©1979."
"15","1999, 1979."
"10","[1999, 1980]"
"4","[1999], ℗1980."
"2","1999, 1983."
"11","℗1999, ℗1990."
"4","1999, ©1990."
"142","[1999?], 1993."
"38","1999, ©1994."
"23","1999, ©1997."
"2","1999, 1997."
"12","[1999, 1998]"
"23","1999, ©1998."
"1","1999, 1998."
"5","1999-2000."
"2","[1999, 2001]"
"38","[1999, 2003]"
"1","1999 [2006 or 2007]"
"61","1999-2013."
"1","[1999, c1943]"
"3","1999, c1959."
"1","[1999, c1983]"
"24","[1999, c1995]"
"3","[1999, c1997]"
"19","1999, c1998."
"24","[1999, p1975]"
"35","[1999, p1976]"
"43","[1999, p1977]"
"26","[1999, p1980]"
"23","[1999, p1982]"
"10","[1999], p1982]"
"2","[1999], p1988]"
"1","1999 [that is, 2000]"
"13","[199-? p1959]"
"150","[20--?]"
"23","[20??]"
"5","[200-]"
"15","[200?]"
"6","2000"
"1123","[2000?]"
"18344","[2000]"
"2","[2000]."
"17","©2000"
"390","©2000."
"74","℗2000."
"60","2000-"
"15769","2000."
"3","2000, 1847."
"8","2000, 1881."
"3","℗2000, ©1960."
"3","2000, ©1960."
"10","2000, ℗ & ©1967."
"34","2000, 1970."
"8","2000, ©1976."
"23","©2000, ℗1977."
"6","2000, ©1982."
"79","[2000,1985]"
"44","[2000?], ©1990."
"53","[2000], 1991."
"26","[2000, 1992]"
"3","2000, ©1992."
"2","[2000, 1993]"
"11","℗2000, ©1995."
"13","[2000], ©1998."
"20","2000, 1998."
"2","[2000?], ©1999."
"8","[2000], ©1999."
"17","℗2000, ℗1999."
"33","2000, ©1999."
"2","2000, 1999."
"1","2000,1999."
"29","[2000, 2001]"
"5","2000-2002."
"2","[2000-2004]"
"2","[2000, 2004]"
"5","[2000, [2006]"
"1","2000-2009."
"1","2000, 2015."
"5","[2000, c1961]"
"359","[2000, c1969]"
"7","[2000, c1972]"
"15","[2000], c1985]"
"2","[2000, c1993]"
"8","2000, c1998."
"109","[2000, c1999]"
"3","[2000], c1999."
"2","2000, c1999."
"21","[2000, c2001]"
"204","[2000 or 2001]"
"14","[2000 or 2001]."
"24","[2000, p1967]"
"3","[2000, p1970]"
"28","[2000, p1971]"
"28","[2000, p1972]"
"51","[2000, p1973]"
"55","[2000, p1974]"
"55","[2000, p1976]"
"20","[2000], p1978]"
"35","[2000], p1979]"
"9","[2000, p1981]"
"14","[2000], p1981]"
"29","[2000, p1982]"
"8","[2000], p1982]"
"19","[2000], p1984]"
"11","[2000], p1999]"
"379","[2001?]"
"21036","[2001]"
"16","©2001"
"584","©2001."
"273","℗2001."
"10","2001-"
"17328","2001."
"44","©2001, 1962."
"1","2001,1966."
"1","2001,1981."
"64","[2001, 1991]"
"36","2001, ©1991."
"14","[2001], ©1994"
"7","[2001], ©1994."
"5","[2001], 1994."
"8","2001, 1994."
"20","℗2001, ℗1995."
"14","[2001], ℗1996."
"5","2001, ©1996."
"2","[2001, 2000]"
"128","[2001], ©2000."
"112","2001, ©2000."
"18","2001, 2000."
"22","[2001, 2002]"
"1","[2001, 2003]"
"1","2001, 2005."
"9","[2001, 2012]"
"72","[2001, c1980]"
"19","[2001, c1981]"
"64","[2001, c1984]"
"3","2001, c1985."
"20","[2001, c1988]"
"43","[2001, c1993]"
"21","2001, c1995."
"3","[2001, c1999]"
"13","[2001, c2000]"
"2","2001, c2000."
"1","[2001, c2002]"
"6","[2001, c2005]"
"1","2001, cc1985."
"3","2001 [i.e., 2009]."
"15","[2001, p1976]"
"14","[2001, p1978]"
"11","[2001, p1979]"
"12","[2001, p1980]"
"7","[2001], p1984]"
"23","[2001, p1986]"
"8","[2001, p1987]"
"3","[2001, p1995]"
"13","[2001], p1997]"
"2","[2001, p1999]"
"1","2001[that is, 2002?]"
"3","2002"
"1","[2002?-]"
"655","[2002?]"
"26106","[2002]"
"14","[2002]."
"31","©2002"
"578","©2002."
"56","℗2002."
"4","2002-"
"18254","2002."
"4","2002, 1880."
"8","2002, ©1947."
"8","©2002, ℗1958."
"5","[©2002], ℗1971."
"27","©2002, ©1973."
"5","2002, 1975."
"4","[2002], 1976."
"4","2002, ©1978."
"3","[2002], ©1981."
"10","[2002], ©1986."
"19","[2002], ℗1986."
"27","[2002], ℗1988."
"6","[2002], ℗1990."
"11","2002, 1991."
"14","[2002], ©1993."
"12","2002, ©1993."
"68","2002, 1993."
"3","[2002], ©1994."
"7","2002, 1995."
"10","[2002], 1996."
"122","2002, 1996."
"33","[2002, 1998]"
"31","2002, 1998."
"1","2002,1998."
"15","2002, ©1999."
"1","2002, 1999."
"28","[2002], ©2000."
"48","2002, ©2000."
"34","[2002], ©2001."
"13","©2002, ©2001."
"16","2002, ©2001."
"23","[2002, 2003]"
"10","[2002, 2004]"
"1","2002, 2004."
"1","2002, 2006."
"2","2002 [ʻĀ.Me.], i.e. 2010."
"181","[2002, c1956]"
"31","[2002, c1958]"
